layer.1,layer.2,layer.3,layer.4,layer.5,layer.6
693,1019,1125,1859,2908,2583
693,1063,1160,1945,2964,2667
716,1063,1194,1988,2964,2709
849,1144,1368,2311,3207,2751
959,1367,1643,2418,3273,2793
910,1316,1501,2430,2893,2278
1042.5,1485.5,1842,2813,3447.5,2976
1111,1541,1849,2920,3449,2870.5
953,1331,1595,2715,3167,2574
1009,1433,1816,2980,3303,2673
602,731,935,1549,2042,1559
634,695,843,1458,1962,1476
600,799,904,1594,2280,1684
665,834,996,1684,2638,1975
565,729,934,1550,2441,1851
1170,1712,2284,3995,4108,2722
1297,1911,2759,4208,4502,3034
870,1190,1426,2451,3287.5,2592
1032,1467.5,1708,2963.5,3747.5,2987
1115,1567,1780,3086,3522,2915
1041,1470,1775.5,3007,3493,2859.5
1016,1368,1742,2827,3520,2846
967,1328,1663,2533.5,3304.5,2789
953,1325,1565,2364,3167,2785
848,1235,1437,2236,3100,2126
827,1235,1470,2353,3100,2203
903.5,1284,1545,2418.5,3105.5,2460.5
1007,1410,1642,2542,3048,2680
1007,1554,1804,2696,3574,3141
1131,1595,1902,2940,3790,3343
988,1513,1771,2653,3870,3342
1050,1473,1803,2775,3516,2937
999.5,1467.5,1717.5,2815,2997,2356.5
713,1000,1176,1964,2372,1776
1102,1628.5,1992.5,3263.5,3489.5,2761.5
1055,1589,1951,3089,3182,2479
1022.5,1493.5,1755.5,2682.5,3098.5,2487.5
930,1306.5,1552,2505.5,3115,2408.5
762,1109,1316,2232,2716,2068
1102,1562.5,1994,3050,3693,3065.5
825,1146,1437,2219,2655,2079
968,1385.5,1738.5,2776.5,3293,2598
951,1391,1606,2769,3511,2769
869,1270,1509,2486,3620,3134
869,1351,1574,2487,3729,3256
868,1310,1541,2488,3676,3135
846,1228,1509,2407,3622,3177
772.5,1096.5,1390,2359,3531,2944
825,1146,1411,2326,3543,3179
844,1105,1378,2286,3544,3219
849,1213,1506.5,2538.5,3418,2407.5
835,1158,1461.5,2415.5,3188.5,2357
917,1381,1917,2971,3441,2226
1133,1502,2054,3102,3627,2648
852,1247,1765,2971,3218,2549
939.5,1339.5,1789.5,2898,3579.5,2568
971,1328.5,1779.5,2898.5,3592.5,2633
1026,1367,1800,2795,3550,2694
1047,1456,1878,2882,3576,2944
1093,1514.5,1875.5,2934,3597,3056
980.5,1365,1627.5,2589,3440,2971.5
810,1125,1412,2213,3091,2682
821,1133.5,1374.5,2219,3056.5,2787
932,1291,1536,2492,3208,2892
1127,1495,1861,2763,3326,2950
1315,1788,2165,3249,3592,3006
1293,1740,2164,3248,3727,3205
1104,1553,1867.5,2893,3583,3183.5
926,1267,1542,2435,3236,2768
940,1363,1677,2545,3180,2756
940,1319,1543,2611,3237,2643
817,1184.5,1374,2378.5,3139,2660
1012,1438.5,1789,2725.5,3425.5,2898.5
898,1190,1537,2314,3092,2768
1000,1339,1729,2590,3455,2877
844,1189.5,1381,2285,3274.5,2871
764,1054,1225,2127,2978,2385
873,1200,1461,2492,3457.5,2759.5
840.5,1183.5,1439.5,2338.5,3250,2618
849,1253,1662,2664,3319,2565
935,1299,1643,2620,3424,2462
937,1185,1544,2531,3374,2383
913,1209,1524,2487,3271,2436
893,1163,1485,2488,3245,2540
998,1558,2227,3741,4035,2436
1180,1764,1980,3338,4171,3734
1054,1557,1813,2968,4008,3612
970,1431,1714,2719,3871,3489
969,1389,1647,2926,3734,3368
919,1237,1436,2371,3295,2829
854,1194,1436,2370,3155,2535
1061,1558,2037,3142,3593,2724
975,1401,1824,2969,3421,2697
936,1356.5,1581.5,2517,3349,2837
920,1324,1574,2498,3294,2829
937,1248,1601,2603.5,3324,2734
1018,1411,1724,2804,3327,2664
1037,1445,1658,2647,3105,2616.5
1051,1475,2037,3070,3533,2851
983,1453,1824,3158,3328,2510
1060,1558,1961,3235,3457,2646
972.5,1460.5,1817,2936.5,3523,2795.5
996.5,1395,1881.5,3280.5,3700.5,2680
708,974,1285,2116,3019,2663
783.5,1186.5,1403.5,2248,3234.5,2646.5
1102,1637,1907,3034,3721,3192
1020,1555,1841,2870,3502,2988
934,1323,1575,2762,3104,2658
793.5,1156.5,1413,2135,2840,2480.5
885,1273,1545,2317.5,2991,2639
962.5,1349.5,1644.5,2642,3241.5,2722.5
1079.5,1501.5,1812,2924.5,3359,2753.5
1011.5,1370,1738,2736,3274,2541.5
955.5,1254,1598.5,2557.5,3315,2678
833,1105,1333,2167,3075,2692
822,1134.5,1380,2244,3174.5,2729
787,1089,1326,2243.5,3109.5,2698
863,1069,1366,2406,3073,2577
780.5,956,1207,2029.5,2875.5,2308
1138,1399,1763,2960,4180,3642
1114,1445,1864,3051,4307,3669
1159,1445,1844,3141,4232,3590
1113,1422,1824,3233,4107,3377
967,1266.5,1530.5,2640,3436.5,2801.5
967,1299.5,1598.5,2705.5,3423,2691
934,1452,1610,2848,3274,2541
956,1409,1643,2848,3218,2541
933,1324,1682,2849,3362,2722
934,1300.5,1665,2718,3348,2810.5
979,1332.5,1728,2762.5,3284.5,2660.5
1062,1424,1801,2874,3335,2577
1030,1490,1801,2918,3310,2607
1127,1583,1830,3162,3471,2919
1030,1424,1781,3147,3638,2962
975,1344.5,1734,2968,3418.5,2827
979,1390,1712,2934,3527,2888
979,1433,1747,2849,3246,2749
919,1381.5,1639,2728,2961,2362.5
1350,1918,2299,3446,3874,3220
954.5,1455,1685.5,2545,3019.5,2512
1264,1754,2006.5,3438.5,3869,3363
878.5,1354,1557,2669.5,3265,2706
861.5,1158,1485,2392,3137.5,2759
922,1171,1521,2376,3163,2583
1000,1384,1678,2547,3339,2745
1021,1534,2205,3777,3982,2510
1042,1578,2262,3947,4080,2485
999,1623,2300,4033,4030,2510
1105,1578,2300,4075,3982,2432
996.5,1527.5,1977.5,3396.5,3715.5,2747.5
